

DIRECTORY,g_total,g_solved,g_sat,g_unsat,g_unknown,g_time,g_mem,g_err,time_cpu,memory
cvc4_master,1982,1762,1,1761,8,2,0,210,13492.7,18026.2
cvc4_bags,1982,1559,0,1559,188,24,1,210,46842.8,114697.8



DIRECTORY,cvc4_master,cvc4_bags
benchmark,status,result,exit_code,time_cpu,memory,status,result,exit_code,time_cpu,memory
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_insert_check_heap_access_32_4.smt2,ok,20,0,0.09,20.0,ok,20,0,0.1,20.2
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_insert_check_heap_access_34_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_insert_check_heap_access_38_4.smt2,ok,20,0,0.09,20.7,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_insert_invariant_24_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_insert_loop_check_heap_access_28_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_insert_loop_invariant_30_5.smt2,ok,20,0,1.19,26.4,ok,20,0,1.79,27.7
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_insert_postcondition_of_dl_insert_17_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_insert_postcondition_of_dl_insert_39_4.smt2,ok,20,0,11.09,41.0,ok,20,0,4.39,37.3
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_insert_postcondition_of_dl_insert_40_3.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_remove_check_free_18_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_remove_check_free_49_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.1,20.5
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_remove_check_heap_access_38_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_remove_check_heap_access_40_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_remove_check_heap_access_40_6_1.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_remove_check_heap_access_45_6.smt2,ok,20,0,0.1,20.5,ok,20,0,0.09,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_remove_invariant_27_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_remove_loop_check_heap_access_33_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_remove_loop_invariant_35_5.smt2,ok,20,0,1.19,26.4,ok,20,0,2.19,29.7
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_remove_postcondition_of_dl_remove_16_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_remove_postcondition_of_dl_remove_19_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_remove_postcondition_of_dl_remove_50_4.smt2,ok,20,0,1.9,28.5,ok,20,0,1.49,28.2
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_remove_postcondition_of_dl_remove_51_3.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_reverse_invariant_18_2.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_reverse_loop_check_heap_access_24_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_reverse_loop_check_heap_access_25_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_reverse_loop_check_heap_access_27_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_reverse_loop_invariant_28_3.smt2,ok,20,0,0.89,24.6,ok,20,0,0.5,22.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_reverse_postcondition_of_dl_reverse_29_1.smt2,ok,20,0,2.69,31.9,ok,20,0,1.39,32.5
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_traverse_invariant_18_2.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_traverse_loop_check_heap_access_22_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
